(0, 7, 14, 13, 12, 11, 36, 35, 30, AP3); 22,00
(1, 0, 7, 14, 13, 12, 11, 36, 35, 30, AP3); 24,00
(2, 0, 7, 14, 13, 12, 11, 36, 35, 30, AP3); 25,00
(3, 1, 0, 7, 14, 13, 12, 11, 36, 35, 30, AP3); 27,00
(5, 6, 8, 9, 14, 13, 12, 11, 36, 35, 30, AP3); 26,00
(6, 8, 9, 14, 13, 12, 11, 36, 35, 30, AP3); 24,00
(7, 14, 13, 12, 11, 36, 35, 30, AP3); 19,00
(8, 9, 14, 13, 12, 11, 36, 35, 30, AP3); 19,00
(9, 14, 13, 12, 11, 36, 35, 30, AP3); 17,00
(11, 36, 35, 30, AP3); 8,00
(12, 11, 36, 35, 30, AP3); 9,00
(13, 12, 11, 36, 35, 30, AP3); 10,00
(14, 13, 12, 11, 36, 35, 30, AP3); 14,00
(15, 14, 13, 12, 11, 36, 35, 30, AP3); 17,00
(17, 40, 22, 25, 26, 28, AP3); 17,00
(18, 19, 20, 22, 25, 26, 28, AP3); 16,00
(19, 20, 22, 25, 26, 28, AP3); 13,00
(20, 22, 25, 26, 28, AP3); 12,00
(21, 22, 25, 26, 28, AP3); 12,00
(22, 25, 26, 28, AP3); 8,00
(23, 25, 26, 28, AP3); 8,00
(25, 26, 28, AP3); 5,00
(26, 28, AP3); 3,00
(27, 31, 30, AP3); 4,00
(28, AP3); 2,00
(AP3); 0,00
(30, AP3); 1,00
(31, 30, AP3); 3,00
(32, 31, 30, AP3); 7,00
(33, 31, 30, AP3); 7,00
(34, 35, 30, AP3); 6,00
(35, 30, AP3); 5,00
(36, 35, 30, AP3); 6,00
(37, 34, 35, 30, AP3); 8,00
(38, 37, 34, 35, 30, AP3); 11,00
(39, 33, 31, 30, AP3); 10,00
(40, 22, 25, 26, 28, AP3); 11,00
